address,amenities,basic_info,description,price_negotiable,price_per_month,property_url,purpose,title,type
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, ",,"{'Bedrooms': '2', 'Bathrooms': '2', 'Belcony': '1', 'Floor': '4', 'Size': '800SqFt', 'PropertyID': '31029'}","Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.Facilities Available>Fully Furnished Apartment>Security & Laundry Service>Filter, Washing Machine, LP Gas>Drawing, Dining Space Available>Daily Room & Bathroom Cleaning>WiFi, Microwave oven, Geyser, A/C>Short-Term Rentals, TV, Refrigerator, Contact For Booking:+88 01712553547+88 01921096846  ",No,47999.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31029/family-house-tolet-from-may,Tolet,Family House Tolet From May ,Family House
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  ,  Short Address :  Paka Mosque More, Janta Road ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '4', 'Size': 'SqFt', 'PropertyID': '31028'}","১ রুমের সাবলেট ভাড়া হবে। , ★রুমের সাথে বারান্দা এবং টয়লেট আছে(এটাস্ট) , ★লিফট আছে।, ★২৪ ঘন্টা সিকিউরিটি। , ★ভবনে নামাজের ব্যবস্থা আছে। , ★ওয়াইফাই ফ্রি।, ★সিসি ক্যামেরা রয়েছে।, ★কম্পিউটার/পড়ার টেবিল, চেয়ার ফ্রি পাবেন ব্যবহার করার জন্য। , ★ইলেকট্রনিক ফিল্টার এর পানির ব্যবস্থা আছে। , ★ফ্রি বাইক/সাইকেল পার্কিংয়ের ব্যবস্থা আছে। , ★পানির বিল ফ্রি , ★ময়লা ফেলানোর বিল ফ্রি।, , শুধু মাত্র বাসার ভাড়া, সার্ভিস চার্জ, বিদ্যুৎ বিল দিতে হবে। , , ভাড়াঃ ৬০০০ টাকা + ৬০০ টাকা সার্ভিস চার্জ। , সিলিন্ডার গ্যাস ব্যবহার করতে হবে। , , ★লোকেশনঃ ৬০ ফিট রোড, পাকা মসজিদ, জনতা রোড (Mirpur-2,pirerbagh) এর ভিতরে ১০ তালা ফ্লাট এর ৪ তলা এটি★, , সামনের মাস থেকেই উঠতে পারবেন।, , যা যা প্রয়োজনঃ , ১/ ১ মাস এডভান্স এবং রানিং মাসের ভাড়া দিয়ে দিতে হবে।, ২/ ভোটার আইডি কার্ড এবং ১ কপি ছবি দিতে হবে। , , ফ্লাট এ থাকতে হলে কিছু নিয়ম-শৃঙ্খলা মানতে হবেঃ , ১. উচ্চস্বরে গান বাজানো যাবে না। , ২. সবসময় পরিষ্কার-পরিচ্ছন্নতার সাথে রুম থাকতে হবে।, ৩. রাত ১১ঃ৩০ এর পরে ফ্লাটে প্রবেশ করা যাবে না। (মাঝে মাঝে দেরি হলে সমস্যা নেই)  ",No,6600.00/- BDT ,https://www.thetolet.com/en/dhaka/60-feet-road/31028/sublet-room-tolet-from-may,Tolet,Sublet Room Tolet From May ,Sublet Room
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, ",,"{'Bedrooms': '2', 'Bathrooms': '2', 'Belcony': '1', 'Floor': '2', 'Size': '800SqFt', 'PropertyID': '31027'}","Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C., ., Facilities Available, >Fully Furnished Apartment, >Security & Laundry Service, >Filter, Washing Machine, LP Gas, >Drawing, Dining Space Available, >Daily Room & Bathroom Cleaning, >WiFi, Microwave oven, Geyser, A/C, >Short-Term Rentals, TV, Refrigerator,  , ., Website:  https://www.hotels.com.bd/rental/2-bedroom-furnished, YouTube: https://www.youtube.com/watch?v=yp440KIPCvc,  , ., Contact For Booking:, +88 01712553547, +88 01921096846  ",No,47999.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31027/family-house-tolet-from-april,Tolet,Family House Tolet From May ,Family House
" Sector No :  PALTON  ,  Road No :  VIP ROAD  ,  House No :  25  ,  Area Name :    Paltan  ,  District Name :   Dhaka  Sector No :  PALTON  ,  Road No :  VIP ROAD  ,  House No :  25  ,  Area Name :    Paltan  ,  District Name :   Dhaka  ,  Short Address :  NIRIBILI 25 PURANA PALTON LINE, DHAKA ",,"{'Bedrooms': '4', 'Bathrooms': '3', 'Belcony': '2', 'Floor': '3', 'Size': '1200SqFt', 'PropertyID': '31026'}","ITS ABOUT 1200 SFT FLAT, SOUTH FACING, 3RD FLOOR FLAT., 4 BIG ROOMS WITH ATTACHED 3 BATHROOMS. KITCHEN WITH 2 LONG AND WIDE VERANDAS. , WATER, GAS, ELECTRICITY ALL ARE METERED. AVAILABLE DEEP TUBEWELL WATER., SURROUNDING CCTV COVERAGE., AVAILABLE TRANSPORTATION SYSTEM. ,  ,    ",Yes,28000.00/- BDT ,https://www.thetolet.com/en/dhaka/paltan/31026/family-house-tolet-from-may,Tolet,Family House Tolet From May ,Family House
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  জেসিএক্স টাওয়ার, ১১৩৬/এ,লেভেল ৫, বসুন্ধরা ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Floor': '4', 'Size': '375SqFt', 'PropertyID': '31025'}","বসুন্ধরা আর/এ তে ২ বেডরুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় ।, , , , , , সুযোগ সুবিধা:>ওয়াইফাই, টিভি>সুইমিংপুল, এসি, জিম>থিয়েটার & সিকিউরিটি>লন্ড্রি & ডেইলি ক্লিনিং সার্ভিস>গ্রোসারি শপ &কেবিনেট কিচেন>রেফ্রিজারেটর & মাইক্রোওয়েভ, ২ রুম ফ্ল্যাটের জন্য ক্লিক করুন:>https://www.hotels.com.bd/two-room>https://www.youtube.com/watch?v=b_dWFqx8jKkবুকিং এর জন্য যোগাযোগ করুনঃ০১৭১২-৫৫৩৫৪৭০১৯২১০৯৬৮৪৬, , , , ,  ",No,36000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31025/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :   ,  Road No :  24, Sp Road.  ,  House No :  407/1A, Dakshin Paik  ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  Sector No :   ,  Road No :  24, Sp Road.  ,  House No :  407/1A, Dakshin Paik  ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  ,  Short Address :  SP Road ","Garage,CCTV,Gas,Wifi","{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '2', 'Size': 'BigroomandVarandaSqFt', 'PropertyID': '31024'}",,No,8000.00/- BDT ,https://www.thetolet.com/en/dhaka/60-feet-road/31024/sublet-room-tolet-from-june,Tolet,Sublet Room Tolet From June ,Sublet Room
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Badda  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Badda  ,  District Name :   Dhaka  ,  Short Address :  319 Moynarbagh Uttar Baddad Dhaka ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Size': 'SqFt', 'PropertyID': '31023'}","1 bedroom, 1 kitchen, 1 bathroom electricity, gas, water bill alada  ,  ",No,8000.00/- BDT ,https://www.thetolet.com/en/dhaka/badda/31023/family-house-tolet-from-june,Tolet,Family House Tolet From June ,Family House
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  :JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Floor': '4', 'Size': '375SqFt', 'PropertyID': '31012'}"," Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C., Facilities Available :,  , > Grocery Shop, BBQ corner,  , > Swimming Pool,Theatre room,,  , > Gym with 24/7 and Jogging track,  , > Daily Room & Bathroom Cleaning,  , > Multi-purpose Hall Room With Full AC,  , > Steam Bath, Thermal massager,  , > Landscape With Sitting Arrangement,  , .,  , Website: https://www.hotels.com.bd/two-room,  , YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,  , .,  , Contact For Booking:,  , +88 01712553547,  ,  ,  , +88 01921096846  ",No,36000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31012/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Uttara  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Uttara  ,  District Name :   Dhaka  ,  Short Address :  Ainusbag, Dakshinkhan, ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Floor': '1', 'Size': 'SqFt', 'PropertyID': '31004'}",,No,4000.00/- BDT ,https://www.thetolet.com/en/dhaka/uttara/31004/sublet-room-tolet-from-may,Tolet,Sublet Room Tolet From May ,Sublet Room
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Khilgaon  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Khilgaon  ,  District Name :   Dhaka  ,  Short Address :  Khilgaon Tilpapara ", Gas,"{'Bedrooms': '2', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '2', 'Size': 'SqFt', 'PropertyID': '30994'}",,No,8000.00/- BDT ,https://www.thetolet.com/en/dhaka/khilgaon/30994/family-house-tolet-from-may,Tolet,Family House Tolet From May ,Family House
" Sector No :   ,  Road No :  6  ,  House No :  207  ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :  6  ,  House No :  207  ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  Block D, House 207 ",,"{'Bedrooms': '3', 'Bathrooms': '4', 'Belcony': '2', 'Floor': '5', 'Size': '2000SqFt', 'PropertyID': '30980'}","*** We committed to provide Excellent Service,  , in Rental Apartment Living Experience to You.***, 2000sft Exclusive South facing Apartment for Rent at Bashundhara R/A., 3 Bed room with 2 attached toilet 1 common toilet, servant room with attached toilet. Provide hot and cold water line in all toilet., Large Drawing, dining, family living space., Kitchen with kitchen cabinet and kitchen hood., 2 large size south facing balcony ., Provide A/C connection line in all room., Attached mosquito net in all window., 8 passengers  lift., All power included generator., Gardening, community space and Cloth dying area in rooftop., Separate Parking, fire extinguisher, Intercom., 24 hours security with CC camera., , Pls Feel Free Contact With us for your Better Living Experience  ,    ",No,50000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/30980/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :  Barobagh  ,  Road No :  Barobagh  ,  House No :  79/5  ,  Area Name :    Mirpur  ,  District Name :   Dhaka  Sector No :  Barobagh  ,  Road No :  Barobagh  ,  House No :  79/5  ,  Area Name :    Mirpur  ,  District Name :   Dhaka  ,  Short Address :  ৭৯/৫, বড়বাগ, মিরপুর, ঢাকা ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '1', 'Size': '150SqFt', 'PropertyID': '30971'}","বারান্দাসহ একরুম, পাশেই বাথরুম, স্বামী-স্ত্রী, অথবা দুজন মেয়ে।  ",Yes,7500.00/- BDT ,https://www.thetolet.com/en/dhaka/mirpur/30971/sublet-room-tolet-from-april,Tolet,Sublet Room Tolet From April ,Sublet Room
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Mohakhali  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Mohakhali  ,  District Name :   Dhaka  ,  Short Address :  Mohakhali Wireless Back University Er Nikote ","CCTV,Gas,Wifi","{'Bedrooms': '2', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '5', 'Size': 'SqFt', 'PropertyID': '30962'}","TO-LET,  , চলতি / আগামী মাস ২০২৩ ইং হইতে ফ্ল্যাট বাসায়        , রুমমেট আবশ্যক, ঠিকানাঃ  জি.পি. চ- 43/5 ,, ওয়্যারলেস গেইট। , সকল বিল সহ -  ডাবল বেড (জনপ্রতি) ২৬০০/- সিঙ্গেল বেড ৩২০০/-, 01829739791, 01708150987  ",Yes,3200.00/- BDT ,https://www.thetolet.com/en/dhaka/mohakhali/30962/bachelor-house-tolet-from-april,Tolet,Bachelor House Tolet From April ,Bachelor House
" Sector No :  10  ,  Road No :  10/A  ,  House No :  12  ,  Area Name :    Uttara  ,  District Name :   Dhaka  Sector No :  10  ,  Road No :  10/A  ,  House No :  12  ,  Area Name :    Uttara  ,  District Name :   Dhaka  ,  Short Address :  Uttara, Dhaka -1230 ",,"{'Bedrooms': '3', 'Bathrooms': '3', 'Belcony': '3', 'Floor': '10', 'Size': '1350*SqFt', 'PropertyID': '30955'}","ফ্যামিলি বাসা ভাড়া হবে। , এপ্রিল ২০২৩, *৩ বেড, ১টি ডাইনিং ও ১ টি ড্রইং রুম। ওয়াশ রুম ৩টা, বারান্দা ৩/২। (১৩৭৫/১৩৫০ স্কয়ার ফিট) , *২৪ ঘন্টা নিরাপত্তা ব্যবস্থা ও লিফট সুবিধা রয়েছে।, * ইলেক্ট্রিসিটি এবং পানি সুবিধা রয়েছে। , * সিলিন্ডার গ্যাস ব্যাবহার করা যাবে। , , বাসা ১২, রোড ১০/এ, সেক্টর ১০ (রানাভোলা সংলগ্ন), , উত্তরা, ঢাকা ১২৩০।, যোগাযোগ: 01762160276, 01706211110, Location: https://maps.app.goo.gl/tuBkhmrWUSf8NMSr7, , *ভাড়া ২২,০০০ টাকা।, *সার্ভিস চার্জ ৪০০০। , [দারোয়ান, লিফট, কমন ইলেক্ট্রিসিটি, ময়লার বিল, পানি], *অন্যান্য বিল (ইলেক্ট্রিসিটি, সিলিন্ডার গ্যাস) যেমন ব্যাবহার করবেন।  ",Yes,22000.00/- BDT ,https://www.thetolet.com/en/dhaka/uttara/30955/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  জেসিএক্স টাওয়ার, ১১৩৬/এ, ব্লক- আই, লেভেল ৫ জাপান স ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '4', 'Size': '375SqFt', 'PropertyID': '30945'}","বসুন্ধরা আর/এ তে ২ বেডরুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় ।, .সুযোগ সুবিধা:>ওয়াইফাই, টিভি>সুইমিংপুল, এসি, জিম>থিয়েটার & সিকিউরিটি>লন্ড্রি & ডেইলি ক্লিনিং সার্ভিস>গ্রোসারি শপ &কেবিনেট কিচেন>রেফ্রিজারেটর & মাইক্রোওয়েভ, .২ রুম ফ্ল্যাটের জন্য ক্লিক করুন:>https://www.hotels.com.bd/two-room>https://www.youtube.com/watch?v=b_dWFqx8jKk.বুকিং এর জন্য যোগাযোগ করুনঃ০১৭১২-৫৫৩৫৪৭০১৯২১০৯৬৮৪৬, , ,  ,    ",No,36000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/30945/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
